genome_id	taxonomy_phylum	taxonomy_class	taxonomy_order	ecological_niche	lifestyle
Acidomyces_sp._richmondensis_FRIK2901	Ascomycota	Dothideomycetes	Mycosphaerellales	undefined_saprotroph	pathotroph_pathotroph_saprotroph_symbiotroph
Acremonium_sp._CBMAI_1973_CBMAI_1973	Ascomycota	Sordariomycetes	Hypocreales	undefined_saprotroph	pathotroph_saprotroph_symbiotroph
Acremonium_sp._FKII-L8-BK-P5_FKII-L8-BK-P5	Ascomycota	Sordariomycetes	Hypocreales	undefined_saprotroph	pathotroph_saprotroph_symbiotroph
Acrocalymma_vagum_A21	Ascomycota	Dothideomycetes	Pleosporales	wood_saprotroph	saprotroph
Acrodontium_crateriforme_169a	Ascomycota	Dothideomycetes	Mycosphaerellales	plant_pathogen	pathotroph_saprotroph
Actinomortierella_ambigua_BC1065	Mucoromycota	Mortierellomycetes	Mortierellales		
Actinomortierella_wolfii_NRRL_6351	Mucoromycota	Mortierellomycetes	Mortierellales		
Actinomucor_elegans_CJ-6	Mucoromycota	Mucoromycetes	Mucorales	undefined_saprotroph	pathotroph_saprotroph
Aeminium_ludgeri_E14	Ascomycota	Dothideomycetes	Mycosphaerellales	plant_pathogen	pathotroph_saprotroph
Afroboletus_lepidellus_UT-M0000099	Basidiomycota	Agaricomycetes	Boletales	ectomycorrhizal	symbiotroph
Agaricales_sp._HM26-F1_HM26-F1	Basidiomycota	Agaricomycetes	Agaricales	bryophyte_parasite	pathotroph_saprotroph_symbiotroph
Agaricus_bisporus_H97	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Agaricus_bitorquis_BH01	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Agaricus_blazei_JA-15036	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Agaricus_sinodeliciosus_ZRL20160001-S65	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Agaricus_subrufescens_ABL_49	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Agroathelia_rolfsii_GP3	Basidiomycota	Agaricomycetes	Amylocorticiales		
Agrocybe_chaxingu_MP-N11	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Agrocybe_cylindracea_AC9	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Agrocybe_pediades_CBS_102.39	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Agrocybe_praecox_KDTOL00396	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Agyrium_rufum_Spribille_39798	Ascomycota	Lecanoromycetes	Pertusariales	undefined_saprotroph	saprotroph_symbiotroph
Akanthomyces_dipterigenus_MBC_701	Ascomycota	Sordariomycetes	Hypocreales	animal_parasite	pathotroph_saprotroph
Akanthomyces_lecanii_RCEF_1005	Ascomycota	Sordariomycetes	Hypocreales	animal_parasite	pathotroph_saprotroph
Akanthomyces_muscarius_Ve6	Ascomycota	Sordariomycetes	Hypocreales	animal_parasite	pathotroph_saprotroph
Albatrellus_ellisii_MG60	Basidiomycota	Agaricomycetes	Russulales	ectomycorrhizal	symbiotroph
Albatrellus_sp._MG142_MG142	Basidiomycota	Agaricomycetes	Russulales	ectomycorrhizal	symbiotroph
Albifimbria_verrucaria_IMI_368023	Ascomycota	Sordariomycetes	Hypocreales	fungal_parasite	pathotroph_saprotroph
Albophoma_yamanashiensis_JCM_11844	Ascomycota	Sordariomycetes	Hypocreales	undefined_saprotroph	saprotroph
Alectoria_fallacina	Ascomycota	Lecanoromycetes	Lecanorales	lichenized	symbiotroph
Alectoria_sarmentosa_MAF-Lich_21536	Ascomycota	Lecanoromycetes	Lecanorales	lichenized	symbiotroph
Allantophomopsis_cytisporea_ATCC_66955	Ascomycota	Leotiomycetes	Phacidiales	plant_pathogen	pathotroph
Allantophomopsis_lycopodina_ATCC_66958	Ascomycota	Leotiomycetes	Phacidiales	plant_pathogen	pathotroph
Alloascoidea_africana_NRRL_Y-6762-3	Ascomycota	Alloascoideomycetes	Alloascoideales	undefined_saprotroph	saprotroph
Alloascoidea_hylecoeti_JCM_7604	Ascomycota	Alloascoideomycetes	Alloascoideales	undefined_saprotroph	saprotroph
Allodekkera_sacchari_CBS_14167	Ascomycota	Pichiomycetes	Pichiales	plant_saprotroph	saprotroph
Allomyces_arbusculus_Burma_1F	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	undefined_saprotroph	saprotroph
Allomyces_javanicus_California_12	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	undefined_saprotroph	saprotroph
Allomyces_macrogynus_ATCC_38327	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	undefined_saprotroph	saprotroph
Alternaria_alstroemeriae_LH_A124	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_alternarina_TB-1129	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_alternata_SRC1lrK2f	Ascomycota	Dothideomycetes	Pleosporales	animal_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_angustiovoidea_FKII-L2-CM-DRAB1	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_arborescens_FERA_675	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_arbusti_BMP_1465	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_atra_CS162	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_brassicae_PNT	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph
Alternaria_brassicicola_Abra43	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph
Alternaria_burnsii_CBS107.38	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_cf._alternata_R-IC-06-P1	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_conjuncta_BMP_0040	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_consortialis_JCM_1940	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_dauci_CALB1	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph
Alternaria_destruens_LH_A593	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_ethzedia_BMP_0044	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_gaisen_FERA_650	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_gansuensis_LYZ1412	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_hordeiaustralica_BMP_2776	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_incomplexa_BMP_0042	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_infectoria_BMP_0036	Ascomycota	Dothideomycetes	Pleosporales	animal_pathogen	pathotroph
Alternaria_longipes_CBS_540.94	Ascomycota	Dothideomycetes	Pleosporales	endophyte	pathotroph_symbiotroph
Alternaria_metachromatica_BMP_0045	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_novae-zelandiae_BMP_2774	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_oregonensis_DAOMC238619	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_panax_BNCC115425	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph
Alternaria_porri_Apn-Nashik	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph
Alternaria_postmessia_BMP_2775	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_rosae_MPI-PUGE-AT-0040	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_solani_NL03003	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph
Alternaria_sp._sect._Undifilum_W740-01	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._Ai002NY15_Ai002NY15	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._BMP_0032_BMP_0032	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._BMP_2799_BMP_2799	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._DAOMC_225332_DAOMC225332	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._DET2042_DET2042	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._DET2072_DET2072	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._DET2103_DET2103	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._DET2104_DET2104	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._DET2105_DET2105	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._DET2106_DET2106	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._DET2107_DET2107	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._KAS5446_KAS5446	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._KAS5449_KAS5449	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._KAS5470_KAS5470	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._KAS5474_KAS5474	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._KAS5477_KAS5477	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._KAS5486_KAS5486	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._KAS5506_KAS5506	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._M3903_M3903	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._M3908_M3908	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._MG1_MG1	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._S3601_S3601	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_sp._SPS-2_SPS-2	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_tenuissima_FERA_1166	Ascomycota	Dothideomycetes	Pleosporales	endophyte	pathotroph_symbiotroph
Alternaria_triticimaculans_BMP_0046	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_triticina_DAOMC238612	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph
Alternaria_ventricosa_BMP_2768	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alternaria_viburni_BMP_2772	Ascomycota	Dothideomycetes	Pleosporales	plant_pathogen	pathotroph_saprotroph_symbiotroph
Alyxoria_varia_Spribille_s.n._20.09.2020_TS-e1968	Ascomycota	Arthoniomycetes	Arthoniales	lichenized	symbiotroph
Amanita_bisporigera_Ingham01	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	symbiotroph
Amanita_brunnescens_Koide_BX004	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	symbiotroph
Amanita_exitialis_LH00005	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	symbiotroph
Amanita_fuliginea_LH00002	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	saprotroph_symbiotroph
Amanita_inopinata_Kibby_2008	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	saprotroph_symbiotroph
Amanita_jacksonii	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	saprotroph_symbiotroph
Amanita_molliuscula_LH00009	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	saprotroph_symbiotroph
Amanita_muscaria_Koide_BX008	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	symbiotroph
Amanita_pallidorosea_LH00007	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	saprotroph_symbiotroph
Amanita_phalloides	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	symbiotroph
Amanita_polypyramis_BW_CC	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	saprotroph_symbiotroph
Amanita_pseudoporphyria_MG37	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	saprotroph_symbiotroph
Amanita_rimosa_LH00003	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	saprotroph_symbiotroph
Amanita_rubescens_Prilba	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	saprotroph_symbiotroph
Amanita_subjunquillea_LH00001	Basidiomycota	Agaricomycetes	Agaricales	ectomycorrhizal	symbiotroph
Amanita_thiersii_SKay4041	Basidiomycota	Agaricomycetes	Agaricales	undefined_saprotroph	saprotroph
Amauroascus_niger_UAMH_3544	Ascomycota	Eurotiomycetes	Onygenales	undefined_saprotroph	saprotroph
Amauroascus_verrucosus_UAMH_3576	Ascomycota	Eurotiomycetes	Onygenales	undefined_saprotroph	saprotroph
Amauroderma_rugosum_ACCC_51706	Basidiomycota	Agaricomycetes	Polyporales	plant_pathogen	pathotroph_saprotroph
Ambispora_gerdemannii_MT106	Mucoromycota	Glomeromycetes	Archaeosporales	arbuscular_mycorrhizal	symbiotroph
Ambispora_leptoticha_FL130A	Mucoromycota	Glomeromycetes	Archaeosporales	arbuscular_mycorrhizal	symbiotroph
Ambrosiella_beaveri_CBS_121753	Ascomycota	Sordariomycetes	Microascales	plant_pathogen	pathotroph
Ambrosiella_cleistominuta_CBS_141682	Ascomycota	Sordariomycetes	Microascales	plant_pathogen	pathotroph
Ambrosiella_xylebori_CBS_110.61	Ascomycota	Sordariomycetes	Microascales	plant_pathogen	pathotroph
Ambrosiozyma_ambrosiae_NRRL_Y-7524	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_angophorae_NRRL_Y-7118	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_cicatricosa_NRRL_Y-17594T	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_kamigamensis_NRRL_Y-63629	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_kashinagicola_JCM_15019	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_llanquihuensis_NRRL_Y-17657	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_maleeae_NRRL_Y-63635	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_monospora_JCM_7599	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_neoplatypodis_NRRL_Y-63630	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_oregonensis_NRRL_Y-6106	Ascomycota	Pichiomycetes	Pichiales	undefined_saprotroph	saprotroph
Ambrosiozyma_philentoma_NRRL_Y-7523	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_platypodis_NRRL_Y-6732	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_pseudovanderkliftii_NRRL_Y-63632	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Ambrosiozyma_vanderkliftii_NRRL_Y-63633	Ascomycota	Pichiomycetes	Pichiales	wood_saprotroph	pathotroph_saprotroph
Amesia_nigricolor_F5	Ascomycota	Sordariomycetes	Sordariales	animal_parasite	pathotroph_saprotroph
Amniculicola_lignicola_CBS_123094	Ascomycota	Dothideomycetes	Pleosporales	wood_saprotroph	saprotroph
Amoeboradix_gromovi_X-113	Sanchytriomycota	Sanchytriomycetes	Sanchytriales	algal_parasite	pathotroph
Amorphotheca_resinae_ATCC_22711	Ascomycota	Leotiomycetes	Helotiales	undefined_saprotroph	saprotroph
Ampelomyces_quisqualis_BRIP_72107	Ascomycota	Dothideomycetes	Pleosporales	endophyte	symbiotroph
Amphiamblys_sp._WSBS2006_WSBS2006	Microsporidia			protist_parasite	pathotroph
Amphirosellinia_nigrospora_JS-1675	Ascomycota	Sordariomycetes	Xylariales	wood_saprotroph	saprotroph
Amylocarpus_encephaloides_TRa018bII	Ascomycota	Leotiomycetes	Helotiales	wood_saprotroph	pathotroph_saprotroph
Amylocystis_lapponica_SKaAmylap13	Basidiomycota	Agaricomycetes	Polyporales	wood_saprotroph	saprotroph
Amyloporia_xantha_YAFMF0618	Basidiomycota	Agaricomycetes	Polyporales	wood_saprotroph	saprotroph
Amylostereum_areolatum_HG-01	Basidiomycota	Agaricomycetes	Russulales	wood_saprotroph	saprotroph
Amylostereum_chailletii_DWAch2	Basidiomycota	Agaricomycetes	Russulales	wood_saprotroph	saprotroph
Anaeromyces_robustus_S4	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	animal_symbiotroph	saprotroph_symbiotroph
Anisogramma_anomala_OR1	Ascomycota	Sordariomycetes	Diaporthales	plant_pathogen	pathotroph
Annulohypoxylon_bovei_CBS_124037	Ascomycota	Sordariomycetes	Xylariales	wood_saprotroph	saprotroph_symbiotroph
Annulohypoxylon_maeteangense_CBS_123835	Ascomycota	Sordariomycetes	Xylariales	wood_saprotroph	saprotroph_symbiotroph
Annulohypoxylon_moriforme_CBS_123579	Ascomycota	Sordariomycetes	Xylariales	wood_saprotroph	saprotroph_symbiotroph
Annulohypoxylon_nitens_CBS_120705	Ascomycota	Sordariomycetes	Xylariales	wood_saprotroph	saprotroph_symbiotroph
Annulohypoxylon_sp._FPYF3050_FPYF3050	Ascomycota	Sordariomycetes	Xylariales	wood_saprotroph	saprotroph_symbiotroph
Annulohypoxylon_stygium_TJAS01	Ascomycota	Sordariomycetes	Xylariales	wood_saprotroph	saprotroph_symbiotroph
Annulohypoxylon_truncatum_CBS_140777	Ascomycota	Sordariomycetes	Xylariales	endophyte	symbiotroph
Antarctomyces_pellizariae_UFMG-CB-12416	Ascomycota	Leotiomycetes	Thelebolales	undefined_saprotroph	saprotroph
Anthostomella_pinea	Ascomycota	Sordariomycetes	Xylariales	endophyte	saprotroph_symbiotroph
Anthracocystis_panici-leucophaei_SPL10	Basidiomycota	Ustilaginomycetes	Ustilaginales	plant_pathogen	pathotroph
Anthracocystis_setariae_BRIP_26904_a	Basidiomycota	Ustilaginomycetes	Ustilaginales	plant_pathogen	pathotroph
Anthracocystis_walkeri_RK_031	Basidiomycota	Ustilaginomycetes	Ustilaginales	plant_pathogen	pathotroph
Antonospora_locustae_CLX	Microsporidia			animal_parasite	pathotroph
Antrodia_cinnamomea_V5	Basidiomycota	Agaricomycetes	Polyporales	wood_saprotroph	saprotroph
Antrodiella_citrinella_DSM_108506	Basidiomycota	Agaricomycetes	Polyporales	wood_saprotroph	saprotroph
Aotearoamyces_nothofagi_ICMP_21868	Ascomycota	Leotiomycetes	Leotiales	wood_saprotroph	saprotroph
Aphanoascus_verrucosus_IHEM_4434	Ascomycota	Eurotiomycetes	Onygenales	animal_pathogen	pathotroph
Aphanocladium_album_MX95	Ascomycota	Sordariomycetes	Hypocreales	fungal_parasite	pathotroph
Apiosordaria_backusii_CBS_540.89	Ascomycota	Sordariomycetes	Sordariales	dung_saprotroph	saprotroph
Apiospora_arundinis_AAU_773	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_aurea_CBS_24483	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_guizhouensis_F035	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_hydei_CBS_114990	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_kogelbergensis_CBS_113332	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_malaysiana_STlab-iicb	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_marii_CBS_49790	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_phragmitis_CBS_135458	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_pterosperma_CBS_123185	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_rasikravindrae_CBS_33761	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_saccharicola_CBS_83171	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_sp._TS-2023a_CBS_14255	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiospora_sphaerosperma_JCM_6018	Ascomycota	Sordariomycetes	Xylariales	plant_pathogen	pathotroph_saprotroph
Apiotrichum_akiyoshidainum_HP2023	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_brassicae_JCM_1599	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_cacaoliposimilis_UB0827	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_domesticum_JCM_9580	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_gamsii_JCM_9941	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_gracile_JCM_10018	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_laibachii_JCM_2947	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_montevideense_JCM_9937	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_mycotoxinovorans_CICC_1454	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_porosum_DSM_27194	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_siamense_L8in5	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_sp._M3315A-1_M3315A-1	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_sp._PA4207_PA4207	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_sp._PDH3304B_PDH3304B	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_sp._PL3306B_PL3306B	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_sp._PL3309B_PL3309B	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_sp._Y3305A_Y3305A	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_sp._Y4201-1_Y4201-1	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
Apiotrichum_sp._Y4204_Y4204	Basidiomycota	Tremellomycetes	Trichosporonales	undefined_saprotroph	saprotroph
