genome_id	taxonomy_phylum	taxonomy_class	taxonomy_order	ecological_niche	lifestyle
Aaosphaeria_arxii_CBS_175.79	Ascomycota	Dothideomycetes	Pleosporales	undefined_saprotroph	saprotroph
Aaosphaeria_pasadenensis_FJI-L9-BK-P1	Ascomycota	Dothideomycetes	Pleosporales	undefined_saprotroph	saprotroph
Abortiporus_biennis_CIRM-BRFM_1778	Basidiomycota	Agaricomycetes	Polyporales	wood_saprotroph	pathotroph_saprotroph
Absidia_glauca_CBS_101.48_substr._RVII-324_met-	Mucoromycota	Mucoromycetes	Mucorales	undefined_saprotroph	saprotroph
Absidia_healeyae_UoMAU1	Mucoromycota	Mucoromycetes	Mucorales	undefined_saprotroph	saprotroph
Absidia_repens_NRRL_1336	Mucoromycota	Mucoromycetes	Mucorales	undefined_saprotroph	saprotroph
Absidia_sp._UoMAU379_UoMAU379	Mucoromycota	Mucoromycetes	Mucorales	undefined_saprotroph	saprotroph
Acaromyces_ingoldii_MCA_4198	Basidiomycota	Exobasidiomycetes	Exobasidiales	animal_pathogen	pathotroph
Acarospora_aff._strigata_T1882	Ascomycota	Lecanoromycetes	Acarosporales	lichenized	symbiotroph
Acarospora_socialis_JNA_AS_CCGP158	Ascomycota	Lecanoromycetes	Acarosporales	lichenized	symbiotroph
Acaulopage_tetraceros_T-All	Zoopagomycota	Zoopagomycetes	Zoopagales	protist_parasite	pathotroph
Acaulospora_colombiana_CL356	Mucoromycota	Glomeromycetes	Diversisporales	arbuscular_mycorrhizal	symbiotroph
Acaulospora_morrowiae_CL551	Mucoromycota	Glomeromycetes	Diversisporales	arbuscular_mycorrhizal	symbiotroph
Acephala_macrosclerotiorum_EW76-UTF0540	Ascomycota	Leotiomycetes	Helotiales	undefined_saprotroph	saprotroph_symbiotroph
Achaetomiella_virescens_148.68	Ascomycota	Sordariomycetes	Sordariales		
Achaetomium_macrosporum_CBS_532.94	Ascomycota	Sordariomycetes	Sordariales	undefined_saprotroph	saprotroph_symbiotroph
Aciculoconidium_aculeatum_NRRL_YB-4298	Ascomycota	Pichiomycetes	Serinales	undefined_saprotroph	saprotroph
Aciculosporium_take_MAFF-241224	Ascomycota	Sordariomycetes	Hypocreales	plant_pathogen	pathotroph_symbiotroph
Acidiella_bohemica_SYSU_C17045	Ascomycota	Dothideomycetes	Mycosphaerellales	soil_saprotroph	saprotroph
